UID          PID    PPID  C STIME TTY          TIME CMD
muhammad    2573       1  0 20:45 ?        00:00:03 /lib/systemd/systemd --user
muhammad    2574    2573  0 20:45 ?        00:00:00 (sd-pam)
muhammad    2592    2573  0 20:45 ?        00:00:00 /usr/bin/pipewire
muhammad    2593    2573  0 20:45 ?        00:00:06 /usr/bin/pulseaudio --daemonize=no --log-target=journal
muhammad    2596       1  0 20:45 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
muhammad    2599    2573  0 20:45 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
muhammad    2600    1371  0 20:45 ?        00:00:00 cinnamon-session --session cinnamon
muhammad    2728       1  0 20:45 ?        00:00:03 /usr/bin/ibus-daemon --daemonize --xim
muhammad    2731    2573  0 20:45 ?        00:00:00 /usr/libexec/gvfsd
muhammad    2736    2573  0 20:45 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
muhammad    2745    2728  0 20:45 ?        00:00:00 /usr/libexec/ibus-dconf
muhammad    2746    2728  0 20:45 ?        00:00:01 /usr/libexec/ibus-ui-gtk3
muhammad    2749    2728  0 20:45 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
muhammad    2753       1  0 20:45 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
muhammad    2757    2573  0 20:45 ?        00:00:00 /usr/libexec/ibus-portal
muhammad    2768    2573  0 20:45 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
muhammad    2774    2768  0 20:45 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
muhammad    2777    2573  0 20:45 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
muhammad    2779    2573  0 20:45 ?        00:00:01 /usr/libexec/xdg-desktop-portal
muhammad    2791    2573  0 20:45 ?        00:00:00 /usr/libexec/xdg-document-portal
muhammad    2800    2573  0 20:45 ?        00:00:00 /usr/libexec/xdg-permission-store
muhammad    2810    2573  0 20:45 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
muhammad    2811    2600  0 20:45 ?        00:00:00 csd-xsettings
muhammad    2812    2600  0 20:45 ?        00:00:01 csd-housekeeping
muhammad    2816    2728  0 20:45 ?        00:00:00 /usr/libexec/ibus-engine-simple
muhammad    2817    2600  0 20:45 ?        00:00:00 csd-keyboard
muhammad    2820    2600  0 20:45 ?        00:00:00 csd-wacom
muhammad    2828    2600  0 20:45 ?        00:00:00 csd-screensaver-proxy
muhammad    2834    2600  0 20:45 ?        00:00:00 csd-print-notifications
muhammad    2851    2600  0 20:45 ?        00:00:00 csd-a11y-settings
muhammad    2853    2600  0 20:45 ?        00:00:00 csd-automount
muhammad    2856    2600  0 20:45 ?        00:00:00 csd-background
muhammad    2859    2600  0 20:45 ?        00:00:00 csd-clipboard
muhammad    2862    2600  0 20:45 ?        00:00:00 csd-color
muhammad    2868    2600  0 20:45 ?        00:00:00 csd-power
muhammad    2871    2600  0 20:45 ?        00:00:00 csd-media-keys
muhammad    2879    2573  0 20:45 ?        00:00:00 /usr/libexec/dconf-service
muhammad    2890    2573  0 20:45 ?        00:00:01 /usr/libexec/gvfs-udisks2-volume-monitor
muhammad    2897       1  0 20:45 ?        00:00:00 /usr/libexec/csd-printer
muhammad    2906    2779  0 20:45 ?        00:00:00 sh -c /usr/lib/x86_64-linux-gnu/libproxy/0.4.17/pxgsettings org.gnome.system.proxy org.gnome.system.proxy.http org.gnome.system.proxy.https org.gnome.system.proxy.ftp org.gnome.system.proxy.socks
muhammad    2907    2906  0 20:45 ?        00:00:00 /usr/lib/x86_64-linux-gnu/libproxy/0.4.17/pxgsettings org.gnome.system.proxy org.gnome.system.proxy.http org.gnome.system.proxy.https org.gnome.system.proxy.ftp org.gnome.system.proxy.socks
muhammad    2912    2573  0 20:45 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
muhammad    2919    2573  0 20:45 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
muhammad    2932    2573  0 20:45 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
muhammad    2942    2573  0 20:45 ?        00:00:00 /usr/libexec/goa-daemon
muhammad    2999    2573  0 20:46 ?        00:00:00 /usr/libexec/goa-identity-service
muhammad    3001    2573  0 20:46 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
muhammad    3050    2600  0 20:46 ?        00:00:00 cinnamon-launcher
muhammad    3096    3050  3 20:46 ?        00:01:23 cinnamon --replace
muhammad    3500    2600  0 20:46 ?        00:00:00 /usr/libexec/xapps/sn-watcher/xapp-sn-watcher
muhammad    3515    2600  0 20:46 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
muhammad    3519    2600  0 20:46 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
muhammad    3520    2600  0 20:46 ?        00:00:01 nemo-desktop
muhammad    3528    2600  0 20:46 ?        00:00:03 nm-applet
muhammad    3529    2600  0 20:46 ?        00:00:00 cinnamon-killer-daemon
muhammad    3533    2600  0 20:46 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
muhammad    3534    2600  0 20:46 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
muhammad    3589    2573  0 20:46 ?        00:00:00 /usr/libexec/evolution-source-registry
muhammad    3599       1  0 20:46 ?        00:00:02 /usr/bin/python3 /usr/bin/blueman-tray
muhammad    3601    2573  0 20:46 ?        00:00:00 /usr/lib/bluetooth/obexd
muhammad    3665    2573  0 20:46 ?        00:00:00 /usr/libexec/evolution-calendar-factory
muhammad    3720    2573  0 20:46 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
muhammad    3733    2731  0 20:46 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
muhammad    3807    2573  0 20:46 ?        00:00:00 /usr/libexec/gvfsd-metadata
muhammad    4123       1  0 20:46 ?        00:00:01 mintUpdate
muhammad    4587    2600  0 20:46 ?        00:00:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
muhammad    5155       1  0 20:46 ?        00:00:11 mintreport-tray
muhammad    6223    3096  9 20:47 ?        00:03:18 /usr/lib/firefox/firefox
muhammad    6288    6223  0 20:47 ?        00:00:00 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20221215175817 -prefsLen 26365 -prefMapSize 227197 -appDir /usr/lib/firefox/browser {cbdf65dc-8c56-4736-892e-5d84fa3d9925} 6223 true socket
muhammad    6558    6223  0 20:47 ?        00:00:01 /usr/lib/firefox/firefox-bin -contentproc -childID 1 -isForBrowser -prefsLen 26441 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {db65eee8-f769-4231-9e18-5be2f2cfebcf} 6223 true tab
muhammad    6841    6223  0 20:47 ?        00:00:00 /usr/lib/firefox/firefox-bin -contentproc -childID 5 -isForBrowser -prefsLen 31868 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {0b49a173-d5c4-42fd-8c5b-d638b89c63cd} 6223 true tab
muhammad    6986    6223  2 20:47 ?        00:01:03 /usr/lib/firefox/firefox-bin -contentproc -childID 7 -isForBrowser -prefsLen 31982 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {f3842a14-d5f3-4687-b94e-9cc0c5b51a3d} 6223 true tab
muhammad    7103    6223  0 20:47 ?        00:00:09 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20221215175817 -prefsLen 31982 -prefMapSize 227197 -appDir /usr/lib/firefox/browser {349db613-d24a-43f9-a4e0-8b84ad040c0f} 6223 true rdd
muhammad    7112    6223  0 20:47 ?        00:00:12 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20221215175817 -sandboxingKind 0 -prefsLen 31982 -prefMapSize 227197 -appDir /usr/lib/firefox/browser {334ec11b-fc50-4269-9417-6e48e70a7bf6} 6223 true utility
muhammad    9891    2573  0 20:50 ?        00:00:03 /usr/libexec/gnome-terminal-server
muhammad    9920    9891  0 20:50 pts/0    00:00:00 bash
muhammad    9966    3096  0 20:50 ?        00:00:06 nemo
muhammad   10068    3096  2 20:50 ?        00:00:44 /opt/google/chrome/chrome
muhammad   10074   10068  0 20:50 ?        00:00:00 cat
muhammad   10075   10068  0 20:50 ?        00:00:00 cat
